neighborhood,density_homeless,density_airbnb
Koreatown,1.935996182,0.521318757
Westlake,1.063783576,0.562942768
Venice,0.806193448,1.301440646
East Hollywood,0.794802239,0.511038134
Downtown,0.728503206,0.467023547
Beverly Grove,0.688997021,0.642558432
Fairfax,0.671109959,0.558414136
Hollywood,0.63451042,1.168694175
Historic South-Central,0.560501022,0.064249571
Pico-Union,0.423038731,0.310727564
Echo Park,0.40654115,0.456055777
South Park,0.404662992,0.047672626
Palms,0.399187623,0.283527628
Florence,0.331748366,0.033509936
North Hollywood,0.320267462,0.164526427
Sawtelle,0.296106626,0.410485068
Harvard Heights,0.270339364,0.266392804
Chesterfield Square,0.25902436,0.044404176
Central-Alameda,0.258424971,0.019328183
Valley Village,0.256995089,0.126624402
Van Nuys,0.254076092,0.057002023
Mid-City,0.247793496,0.274374981
Vermont Knolls,0.216232863,0.017791312
Larchmont,0.215259256,0.408028739
Los Feliz,0.209095816,0.3247276
Sun Valley,0.196806281,0.018072354
Rancho Park,0.195599041,0.213854951
Silver Lake,0.189266074,0.452419803
Valley Glen,0.185983088,0.076083991
Cypress Park,0.181168924,0.049605777
Highland Park,0.180037884,0.142568071
Panorama City,0.172611908,0.013277839
Chinatown,0.171822803,0.268043573
Studio City,0.17066828,0.120136597
North Hills,0.169551618,0.020310871
Vermont Square,0.165192492,0.071235424
Pico-Robertson,0.162073255,0.399881676
Vermont-Slauson,0.16031723,0.015165143
West Los Angeles,0.153336147,0.233725972
Lincoln Heights,0.151236544,0.053524044
Boyle Heights,0.144289725,0.035712905
Arlington Heights,0.143916334,0.331765024
Sherman Oaks,0.135632824,0.081823832
West Adams,0.13284347,0.124408964
Eagle Rock,0.12975636,0.079397659
El Sereno,0.126341408,0.035615531
Green Meadows,0.125289729,0.006334874
Canoga Park,0.123964644,0.036291099
Carthay,0.1207448,0.334370214
Mid-Wilshire,0.119666407,0.48709284
Hancock Park,0.118372806,0.165721929
Arleta,0.117079788,0.005046543
Harvard Park,0.114626736,0.017072067
Woodland Hills,0.111514156,0.042955168
Del Rey,0.108938124,0.249092436
Broadway-Manchester,0.107275653,0.011028338
Pacoima,0.105296916,0.0035026
Elysian Valley,0.104857876,0.075181118
Jefferson Park,0.1013023,0.132133435
Leimert Park,0.100888449,0.085165574
Westwood,0.099893746,0.291604723
Exposition Park,0.099835348,0.128601465
Hollywood Hills,0.095554977,0.239663412
Gramercy Park,0.090936175,0.027556417
Watts,0.09055203,0.019877275
Harbor City,0.088980718,0.015132775
Mission Hills,0.087745163,0.00686275
Mar Vista,0.085808555,0.274155634
Toluca Lake,0.084721035,0.139918074
Windsor Square,0.084587508,0.12116589
Manchester Square,0.083321758,0.03085991
Reseda,0.081514916,0.051413003
Winnetka,0.074899408,0.033361308
Vermont Vista,0.070265906,0.004747696
Hyde Park,0.060124394,0.050916154
Playa Vista,0.055318642,0.11665018
Chatsworth,0.05514618,0.005535118
San Pedro,0.05403241,0.018788248
Wilmington,0.05384224,0.006153399
Sylmar,0.050049646,0.005519259
Veterans Administration,0.049723785,0.027433812
Adams-Normandie,0.046563595,0.118349137
Sunland,0.046046385,0.005072907
Atwater Village,0.045725883,0.136298306
Lake Balboa,0.043987975,0.052985515
Glassell Park,0.042568565,0.066974543
Granada Hills,0.039808432,0.007651491
Montecito Heights,0.03890613,0.068734163
Sepulveda Basin,0.038358122,0.003985259
Lake View Terrace,0.036560136,0.003323649
Tarzana,0.035370377,0.034481674
University Park,0.034807201,0.144583758
Northridge,0.032842663,0.021950122
West Hills,0.032429652,0.016672872
Playa del Rey,0.032335921,0.094738576
Baldwin Hills/Crenshaw,0.031968281,0.064478398
Harbor Gateway,0.031913075,0.017932109
Mount Washington,0.027865538,0.128350357
Century City,0.026762339,0.069136042
Encino,0.024671814,0.033718145
Westchester,0.021538331,0.049292423
Brentwood,0.019295569,0.032432978
Hansen Dam,0.019122221,
Shadow Hills,0.017080677,0.004514179
Santa Monica,0.016053601,0.217453321
Griffith Park,0.014463812,0.005624816
Westmont,0.014406253,0.014406253
Elysian Park,0.013297191,0.023744984
Cheviot Hills,0.012203588,0.057967043
Hollywood Hills West,0.010577853,0.245854944
Beverlywood,0.009835186,0.08654964
Tujunga,0.009828224,0.004212096
Athens,0.008206699,0.004689542
Porter Ranch,0.007272425,0.007552134
Marina del Rey,0.003222151,0.309326543
Chatsworth Reservoir,0.002602568,0.000867523
Willowbrook,0.002074285,0.004148569
Florence-Firestone,0.001746064,0.006984255
West Hollywood,0.001655804,0.668944968
Inglewood,0.001541488,0.067482909
Bel-Air,0.001225813,0.023290446
Culver City,0.000902699,0.09327889
El Segundo,0.000858672,0.03949892
View Park-Windsor Hills,0.000848275,0.073799898
Pacific Palisades,0.000821015,0.014436172
Ladera Heights,0.000531512,0.028701642
Beverly Crest,0.000189714,0.038511886
Carson,0.000163189,0.005874797
Glendale,0.000102031,0.027242245
Burbank,9.01E-05,0.032165709
Torrance,7.59E-05,0.022242
